idarticulo,idcategoria,codigo,nombre,precio_venta,stock,descripcion,imagen,estado
1,8,EJML6D1A82,Económico Pan Integral,95.82,110,El complemento perfecto para cualquier comida.,img00001.jpg,true
2,3,RBIRFY8PF2,Calidad Pan Integral,83.72,51,El favorito de todos a un precio accesible.,img00002.jpg,true
3,9,B0URP6ECZ7,Fresco Chocolate,87.91,107,Disfruta de la mejor calidad en cada bocado.,img00003.jpg,true
4,1,I2J0WQTJJZ,Importado Chocolate,76.7,6,Cultivado localmente con prácticas sostenibles.,img00004.jpg,true
5,1,QWI4BZ23VX,Delicioso Vino,5.52,198,Empacado con nutrientes y sabor.,img00005.jpg,true
6,1,C8C5TXET00,Fresco Vino,84.59,64,De los mejores productores locales.,img00006.jpg,true
7,4,4Y7RL2HSO3,Fresco Vino,95.32,88,Disfruta de la mejor calidad en cada bocado.,img00007.jpg,true
8,2,OU6V4W33FN,Económico Vino,39.6,169,El placer indulgente para tus antojos.,img00008.jpg,true
9,9,U1KK3S6ICB,Delicioso Queso,38.3,24,De los mejores productores locales.,img00009.jpg,true
10,4,9SBSAOBIV4,Fresco Pan Integral,42.22,101,Empacado con nutrientes y sabor.,img00010.jpg,true
11,5,3P6MJAUZUL,Calidad Queso,19.77,43,El complemento perfecto para cualquier comida.,img00011.jpg,true
12,2,T3JXYKI73A,Calidad Helado,24.57,57,Empacado con nutrientes y sabor.,img00012.jpg,true
13,6,R282YW10IG,Local Salmón,83.48,43,El favorito de todos a un precio accesible.,img00013.jpg,true
14,10,W7K596RXL2,Económico Vino,31.87,121,La opción más saludable para tu familia.,img00014.jpg,true
15,1,DZHOA6H9K0,Fresco Salmón,9.15,30,El favorito de todos a un precio accesible.,img00015.jpg,true
16,4,OGZ7LLTKG2,Económico Pechuga de Pollo,38.05,73,El complemento perfecto para cualquier comida.,img00016.jpg,true
17,8,D4XSARDT1R,Natural Pechuga de Pollo,49.45,33,El complemento perfecto para cualquier comida.,img00017.jpg,true
18,6,YA749SKAPJ,Fresco Queso,41.68,145,Empacado con nutrientes y sabor.,img00018.jpg,true
19,4,ZQA884Q1W3,Local Lechuga,30.73,141,El complemento perfecto para cualquier comida.,img00019.jpg,true
20,7,WDRAQY1ENA,Calidad Chocolate,25.88,146,Importado directamente para garantizar la frescura.,img00020.jpg,true
21,4,3G3X5NHFCX,Económico Lechuga,68.53,149,Cultivado localmente con prácticas sostenibles.,img00021.jpg,true
22,7,WT9S7AS24C,Económico Lechuga,48.49,110,El complemento perfecto para cualquier comida.,img00022.jpg,true
23,8,JGHIBWH9M6,Delicioso Chocolate,53.37,68,De los mejores productores locales.,img00023.jpg,true
24,3,9YR1CFCA98,Fresco Helado,46.78,178,El favorito de todos a un precio accesible.,img00024.jpg,true
25,2,D2OZ7A737T,Natural Detergente,13.07,85,El favorito de todos a un precio accesible.,img00025.jpg,true
26,4,ANADR4ESDX,Premium Salmón,75.47,75,Cultivado localmente con prácticas sostenibles.,img00026.jpg,true
27,3,GPTV5TVXU2,Económico Helado,75.18,122,Empacado con nutrientes y sabor.,img00027.jpg,true
28,9,8K1EHYUOS4,Orgánico Lechuga,1.65,46,Empacado con nutrientes y sabor.,img00028.jpg,true
29,5,5R1DF1T3AN,Económico Vino,53.07,82,El placer indulgente para tus antojos.,img00029.jpg,true
30,7,2SV11L3LFG,Local Vino,21.84,47,La opción más saludable para tu familia.,img00030.jpg,true
